GEO.display-label,GEOid,GEOid2,Information_Industry_#,Information_Industry_%,HHI_200+_#,HHI_200+_%
"Census Tract 374, Bronx County, New York",1400000US36005037400,36005037400,20,1.7,12,0.8
"Census Tract 375.04, Bronx County, New York",1400000US36005037504,36005037504,11,1.1,0,0.0
"Census Tract 376, Bronx County, New York",1400000US36005037600,36005037600,29,3.0,3,0.4
"Census Tract 378, Bronx County, New York",1400000US36005037800,36005037800,25,2.0,0,0.0
"Census Tract 379, Bronx County, New York",1400000US36005037900,36005037900,10,0.6,20,1.3
"Census Tract 380, Bronx County, New York",1400000US36005038000,36005038000,17,1.0,21,1.2
"Census Tract 381, Bronx County, New York",1400000US36005038100,36005038100,13,0.5,0,0.0
"Census Tract 382, Bronx County, New York",1400000US36005038200,36005038200,6,0.5,31,3.7
"Census Tract 383.01, Bronx County, New York",1400000US36005038301,36005038301,16,0.9,35,2.3
"Census Tract 383.02, Bronx County, New York",1400000US36005038302,36005038302,0,0.0,26,1.4
"Census Tract 385, Bronx County, New York",1400000US36005038500,36005038500,0,0.0,0,0.0
"Census Tract 386, Bronx County, New York",1400000US36005038600,36005038600,124,3.2,0,0.0
"Census Tract 387, Bronx County, New York",1400000US36005038700,36005038700,48,3.5,0,0.0
"Census Tract 388, Bronx County, New York",1400000US36005038800,36005038800,11,1.1,0,0.0
"Census Tract 389, Bronx County, New York",1400000US36005038900,36005038900,58,2.7,0,0.0
"Census Tract 390, Bronx County, New York",1400000US36005039000,36005039000,15,1.2,23,2.3
"Census Tract 391, Bronx County, New York",1400000US36005039100,36005039100,0,0.0,0,0.0
"Census Tract 392, Bronx County, New York",1400000US36005039200,36005039200,31,4.3,0,0.0
"Census Tract 393, Bronx County, New York",1400000US36005039300,36005039300,91,3.3,40,1.3
"Census Tract 394, Bronx County, New York",1400000US36005039400,36005039400,28,1.4,8,0.5
"Census Tract 395, Bronx County, New York",1400000US36005039500,36005039500,7,0.5,0,0.0
"Census Tract 396, Bronx County, New York",1400000US36005039600,36005039600,40,2.5,11,0.8
"Census Tract 397, Bronx County, New York",1400000US36005039700,36005039700,23,1.7,0,0.0
"Census Tract 398, Bronx County, New York",1400000US36005039800,36005039800,0,0.0,17,1.8
"Census Tract 399.01, Bronx County, New York",1400000US36005039901,36005039901,55,3.5,0,0.0
"Census Tract 399.02, Bronx County, New York",1400000US36005039902,36005039902,31,1.7,16,0.9
"Census Tract 401, Bronx County, New York",1400000US36005040100,36005040100,0,0.0,9,0.6
"Census Tract 403.02, Bronx County, New York",1400000US36005040302,36005040302,0,0.0,7,0.5
"Census Tract 403.03, Bronx County, New York",1400000US36005040303,36005040303,0,0.0,0,0.0
"Census Tract 403.04, Bronx County, New York",1400000US36005040304,36005040304,11,0.6,0,0.0
"Census Tract 404, Bronx County, New York",1400000US36005040400,36005040400,0,0.0,31,3.1
"Census Tract 405.01, Bronx County, New York",1400000US36005040501,36005040501,9,0.5,8,0.6
"Census Tract 405.02, Bronx County, New York",1400000US36005040502,36005040502,0,0.0,22,1.0
"Census Tract 406, Bronx County, New York",1400000US36005040600,36005040600,3,0.2,39,3.3
"Census Tract 407.01, Bronx County, New York",1400000US36005040701,36005040701,31,2.4,0,0.0
"Census Tract 407.02, Bronx County, New York",1400000US36005040702,36005040702,267,9.6,0,0.0
"Census Tract 408, Bronx County, New York",1400000US36005040800,36005040800,34,1.8,15,1.0
"Census Tract 409, Bronx County, New York",1400000US36005040900,36005040900,19,1.4,7,0.5
"Census Tract 411, Bronx County, New York",1400000US36005041100,36005041100,6,0.5,10,0.9
"Census Tract 413, Bronx County, New York",1400000US36005041300,36005041300,60,1.7,53,1.9
"Census Tract 414, Bronx County, New York",1400000US36005041400,36005041400,43,2.0,41,2.6
"Census Tract 415, Bronx County, New York",1400000US36005041500,36005041500,112,4.0,12,0.5
"Census Tract 418, Bronx County, New York",1400000US36005041800,36005041800,0,0.0,0,0.0
"Census Tract 419, Bronx County, New York",1400000US36005041900,36005041900,30,1.0,21,0.8
"Census Tract 420, Bronx County, New York",1400000US36005042000,36005042000,43,3.3,0,0.0
