,lat,long,stop_name,Information_Industry_%,2015_med_inc,subway line,COMPLETE_NAME
269,40.749095000000004,-73.86912,Junction Blvd.,1.8,45655,7,JUNCTION BLVD 7
270,40.74933,-73.897382,65 St.,1.3,48355,MR,65 ST MR
271,40.749787,-73.86238900000001,103 St.-Corona Plaza,1.2,42557,7,103 ST-CORONA 7
272,40.749891,-73.987495,34 St.-Herald Square,7.7,103264,BDFMNQR,34 ST-HERALD SQ BDFMNQR
273,40.749907,-73.937057,Queens Plaza,7.2,117788,R,QUEENS PLAZA EMR
274,40.750834999999995,-73.93967099999999,Queensboro Plaza,6.2,54025,7NQ,QUEENSBORO PLZ 7NQ
275,40.751020000000004,-73.990323,34 St.-Penn Station,7.4,135750,123,34 ST-PENN STA 123
276,40.751551,-73.855628,111 St.,1.4,46362,7,111 ST 7
277,40.751868,-73.930585,36 St.,1.3,56667,MR,36 ST MR
278,40.751996000000005,-73.99332700000001,34 St.-Penn Station,7.6,159821,ACE,34 ST-PENN STA ACE
279,40.752829999999996,-73.97891700000001,Grand Central-42 St.,8.1,122379,4567,GRD CNTRL-42 ST 4567S
280,40.752901,-73.932903,39 Ave.,1.3,56667,NQ,39 AV NQ
281,40.753409000000005,-73.98113000000001,5 Ave.-Bryant Park,4.2,120938,7,42 ST-BRYANT PK BDFM7
282,40.753428,-73.906847,Northern Blvd.,2.3,69539,MR,NORTHERN BLVD MR
283,40.754255,-73.941935,21 St.-Queensbridge,6.2,54025,F,21 ST-QNSBRIDGE F
284,40.754301,-73.986623,Times Square-42 St.,3.7,82361,1237NQR,TIMES SQ-42 ST 1237ACENQRS
285,40.754832,-73.983657,42 St.-Bryant Park,3.4,135313,BDFM,42 ST-BRYANT PK BDFM7
286,40.756796,-73.92974,36 Ave.,3.2,53496,NQ,36 AV NQ
287,40.756868,-73.914303,46 St.,5.3,51144,MR,46 ST MR
288,40.757059000000005,-73.97157,51 St.,8.4,112098,6,51 ST 6
289,40.757636,-73.969623,Lexington Ave.-53 St.,8.4,112098,EM,LEXINGTON AV/53 EM6
290,40.758278999999995,-73.919433,Steinway St.,3.2,46632,MR,STEINWAY ST MR
291,40.758401,-73.98867299999999,42 St.-Port Authority Bus Terminal,5.9,62301,ACE,42 ST-PORT AUTH ACENGRS1237
292,40.759015999999995,-73.953505,Roosevelt Island,4.2,86712,F,ROOSEVELT ISLND F
293,40.759946,-73.828414,Flushing-Main St.,3.7,37275,7,FLUSHING-MAIN 7
294,40.759953,-73.980117,47-50 Sts.-Rockefeller Center,13.1,111806,BDFM,47-50 STS ROCK BDFM
295,40.760373,-73.975562,5 Ave.-53 St.,13.1,111806,EM,5 AV/53 ST EM
296,40.760453999999996,-73.983388,49 St.,7.8,150682,NQR,49 ST NQR
297,40.761212,-73.983357,50 St.,8.9,85195,1,50 ST 1
298,40.762217,-73.925349,Broadway,5.3,59397,NQ,BROADWAY NQ
299,40.762254999999996,-73.965918,59 St.,10.4,103797,456,59 ST 456NQR
300,40.762254999999996,-73.965918,Lexington Ave.-59 St.,10.4,103797,NQR,LEXINGTON AV/53 EM6
301,40.7629,-73.985412,50 St.,8.9,85195,CE,50 ST CE
302,40.762937,-73.981578,7 Ave.,8.9,85195,BDE,7 AV BDE
303,40.764564,-73.97683,57 St.,5.1,138250,F,57 ST F
304,40.764657,-73.972229,5 Ave.-59 St.,6.8,197500,NQR,5 AV/59 ST NQR
305,40.764881,-73.966411,Lexington Ave.-63 St.,0.6,148833,F,LEXINGTON AV/63 F
306,40.765639,-73.979764,57 St.-7 Ave.,9.7,142982,NQR,57 ST-7 AV NQR
307,40.766963,-73.921192,30 Ave.,6.5,70407,NQ,30 AV NQ
308,40.767367,-73.982137,59 St.-Columbus Circle,9.7,142982,1ABCD,59 ST COLUMBUS 1ABCD
309,40.767863,-73.963898,68 St.-Hunter College,0.6,148833,6,68ST-HUNTER CO 6
