Lexington Ave.-59 St. NQR,LEXINGTON AV/53 EM6
50 St. CE,50 ST CE
7 Ave. BDE,7 AV BDE
57 St. F,57 ST F
5 Ave.-59 St. NQR,5 AV/59 ST NQR
Lexington Ave.-63 St. F,LEXINGTON AV/63 F
57 St.-7 Ave. NQR,57 ST-7 AV NQR
30 Ave. NQ,30 AV NQ
59 St.-Columbus Circle 1ABCD,59 ST COLUMBUS 1ABCD
68 St.-Hunter College 6,68ST-HUNTER CO 6
Astoria Blvd. NQ,ASTORIA BLVD NQ
66 St.-Lincoln Center 1,66 ST-LINCOLN 1
77 St. 6,77 ST 6
Astoria-Ditmars Blvd. NQ,ASTORIA DITMARS NQ
72 St. BC,72 ST BC
72 St. 123,72 ST 123
86 St. 456,86 ST 456
81 St.-Museum of Natural History BC,81 ST-MUSEUM BC
79 St. 1,79 ST 1
96 St. 6,96 ST 6
86 St. BC,86 ST BC
86 St. 1,86 ST 1
103 St. 6,103 ST 6
96 St. BC,96 ST BC
96 St. 123,96 ST 123
110 St. 6,110 ST 6
103 St. BC,103 ST BC
116 St. 6,116 ST 6
Central Park North (110 St.) 23,CENTRAL PK N110 23
103 St. 1,103 ST 1
Cathedral Parkway (110 St.) BC,CATHEDRAL PKWY BC
116 St. 23,116 ST 23
Cathedral Parkway (110 St.) 1,CATHEDRAL PKWY 1
116 St. BC,116 ST BC
125 St. 456,125 ST 456
Cypress Ave. 6,CYPRESS AV 6
Brook Ave. 6,BROOK AV 6
125 St. 23,125 ST 23
116 St.-Columbia University 1,116 ST-COLUMBIA 1
E 143 St.-Saint Mary's St. 6,E 143/ST MARY'S 6
3 Ave.-138 St. 6,3 AV 138 ST 6
125 St. ABCD,145 ST ABCD
E 149 St. 6,E 149 ST 6
138 St. 4,183 ST 4
138 St.-Grand Concourse 5,138/GRAND CONC 45
135 St. 23,135 ST 23
125 St. 1,125 ST 1
3 Ave.-149 St. 25,3 AV-149 ST 25
Longwood Ave. 6,LONGWOOD AV 6
Jackson Ave. 25,JACKSON AV 25
135 St. BC,135 ST BC
149 St.-Grand Concourse 245,149/GRAND CONC 245
Prospect Ave. 25,PROSPECT AV 25
145 St. 3,145 ST 3
Hunts Point Ave. 6,HUNTS POINT AV 6
137 St.-City College 1,137 ST CITY COL 1
Intervale Ave. 25,INTERVALE AV 25
Harlem-148 St. 3,HARLEM 148 ST 3
Simpson St. 25,SIMPSON ST 25
145 St. ABCD,145 ST ABCD
145 St. 1,145 ST 1
Whitlock Ave. 6,WHITLOCK AV 6
161 St.-Yankee Stadium 4D,161/YANKEE STAD 4BD
161 St.-Yankee Stadium B,161/YANKEE STAD BD4
Elder Ave. 6,ELDER AV 6
Morrison Ave.-Soundview 6,MORISN AV/SNDVW 6
Freeman St. 25,FREEMAN ST 25
155 St. BD,155 ST BD
155 St. C,155 ST C
Saint Lawrence Ave. 6,ST LAWRENCE AV 6
Parkchester 6,PARKCHESTER 6
157 St. 1,157 ST 1
Castle Hill Ave. 6,CASTLE HILL AV 6
167 St. BD,167 ST BD
163 St.-Amsterdam Ave. C,163 ST-AMSTERDM C
167 St. 4,167 ST 4
Zerega Ave. 6,ZEREGA AV 6
174 St. 25,174 ST 25
170 St. BD,170 ST BD
170 St. 4,170 ST 4
Westchester Square-E Tremont Ave. 6,WESTCHESTER SQ 6
168 St. 1C,168 ST 1AC
West Farms Square-E Tremont Ave. 25,WEST FARMS SQ 25
E 180 St. 25,E 180 ST 25
168 St. A,168 ST AC1
Middletown Rd. 6,MIDDLETOWN RD 6
Mount Eden Ave. 4,MT EDEN AV 4
174-175 Sts. BD,174-175 STS BD
Buhre Ave. 6,BUHRE AV 6
175 St. A,175 ST A
176 St. 4,176 ST 4
Bronx Park East 2,BRONX PARK EAST 25
181 St. 1,181 ST 1
Tremont Ave. BD,TREMONT AV BD
181 St. A,181 ST A
Pelham Bay Park 6,PELHAM BAY PARK 6
Burnside Ave. 4,BURNSIDE AV 4
Morris Park 5,MORRIS PARK 5
182-183 Sts. BD,182-183 STS BD
191 St. 1,191 ST 1
Pelham Parkway 2,PELHAM BAY PARK 6
183 St. 4,183 ST 4
Pelham Parkway 5,PELHAM BAY PARK 6
190 St. A,190 ST A
Dyckman St. 1,DYCKMAN ST 1
Fordham Rd. BD,FORDHAM RD BD
Fordham Rd. 4,FORDHAM RD 4
207 St. 1,207 ST 1
Dyckman St. A,DYCKMAN ST A
Allerton Ave. 2,ALLERTON AV 25
Kingsbridge Rd. BD,KINGSBRIDGE RD BD
Kingsbridge Rd. 4,KINGSBRIDGE RD 4
Inwood-207 St. A,INWOOD-207 ST A
215 St. 1,215 ST 1
Gun Hill Rd. 5,GUN HILL RD 5
Burke Ave. 2,BURKE AV 25
Bedford Park Blvd.-Lehman College 4,BEDFORD PK BLVD 4
Bedford Park Blvd. BD,BEDFORD PK BLVD BD
Marble Hill-225 St. 1,MARBLE HILL-225 1
Norwood-205 St. D,NORWOOD 205 ST D
Gun Hill Rd. 2,GUN HILL RD 25
231 St. 1,231 ST 1
Baychester Ave. 5,BAYCHESTER AV 5
Mosholu Parkway 4,MOSHOLU PKWY 4
219 St. 2,191 ST 1
238 St. 1,238 ST 1
Woodlawn 4,WOODLAWN 4
225 St. 2,219 ST 25
Eastchester-Dyre Ave. 5,EASTCHSTER/DYRE 5
Van Cortlandt Park-242 St. 1,V.CORTLANDT PK 1
233 St. 2,125 ST 23
Nereid Ave. 2,NEREID AV 25
Wakefield-241 St. 2,WAKEFIELD/241 2
